,phraseNumber,speaker,emotion,transcript
49,54,EB0,anger,W grudniu często pada śnieg.
50,55,EB0,anger,Chodzę do szkoły prawie codziennie.
51,56,EB0,anger,Moje dziecko umie już mówić kilka słów.
52,57,EB0,anger,"Jedz inaczej, aby polepszyć swoje zdrowie."
53,58,EB0,anger,Otrzymałem piękną pocztówkę z widokiem na górę.
54,59,EB0,anger,Kupiłem nowy słownik języka hiszpańskiego
55,6,EB0,anger,"Dziunia, nie jesteś moim szefem."
56,60,EB0,anger,Podczas wakacji udało mi się zobaczyć delfinę.
57,61,EB0,anger,Zupa pomiderowa - to moje ulubione danie.
58,62,EB0,anger,Twoje słowo ma dla mnie wielkie znaczenie.
59,63,EB0,anger,Moja wizja na przyszłość jest jasna i wyraźna.
60,64,EB0,anger,Ucho wykrywa dźwięki o różnej częstotliwości.
61,65,EB0,anger,Podczas renowantu odkryliśmy staro-dawny mur.
62,66,EB0,anger,Rotęńcy jest jednym z pierwiastków chemicznych.
63,67,EB0,anger,Miłość jest jednym z najpiękniejszych uczuć.
64,68,EB0,anger,Zamek w Malborku jest jednym z najpiękniejszych w Polsce.
65,69,EB0,anger,Przed most na rzece można szybko dotrzeć do miasta.
66,7,EB0,anger,Życie jest pełne niespodzianek.
67,70,EB0,anger,Człowiek zaczyna umierać już w momencie narodzin.
68,71,EB0,anger,Baza wojskowa jest strategicznym punktem dla armii
69,72,EB0,anger,Bastion był kiedyś ważnym elementem obrony miasta.
70,73,EB0,anger,Zawsze stawiam przed rzeczownikami właściwy rodzajnik.
71,74,EB0,anger,"Ta liczba wydaje się być błędna, sprawdź jeszcze raz."
72,75,EB0,anger,Moja testowacja czasem przyjeżdża do nas w weekend.
73,76,EB0,anger,Woda jest podstawowym składnikiem życia na Ziemi.
74,77,EB0,anger,Marzec kojarzy się z wiosennymi promieniami słońca.
75,78,EB0,anger,Moim ulubionym sosem do pizdy jest sos czosnkowy.
76,79,EB0,anger,Mleko jest źródłem wapnia i innych składników odżywczych.
77,8,EB0,anger,Moja ciocia jest bardzo pomocna.
78,80,EB0,anger,Do dzisiejszego obiadu potrzebuję małego garnczka.
79,81,EB0,anger,W lipcu wyjeżdżam z rodziną na wakacje nad morze.
80,82,EB0,anger,Czerwiec kojarzy się z końcem roku szkolnego.
81,83,EB0,anger,Ten zierabak jest wychowany zgodnie z najlepszymi standardami.
82,84,EB0,anger,Kont świadczenie za udzieloną pożyczkę było bardzo wysokie.
83,85,EB0,anger,"W bankach można założyć konto osobiste, oszczędnościowe lub kredytowe"
84,86,EB0,anger,Myślmy pozytywnie i skupmy się na dobrych rzeczach w naszym życiu.
85,87,EB0,anger,Na targach rzemieślniczych można zobaczyć wiele unikatowych produktów.
86,88,EB0,anger,Jabłko jest bogatym źródłem witamin i składników odżywczych.
87,89,EB0,anger,Dopłaniać jest jednym z przypadków gramatycznych w języku polskim.
88,9,EB0,anger,Piłka nożna to moja pasja.
89,90,EB0,anger,Chorał gregoriański jest wykonywanych podczas uroczystych nabożeństw.
90,1,EB0,fear,Lubię czytać przed snem.
91,10,EB0,fear,Kupiłem nową szafę do sypialni.
92,11,EB0,fear,Nie zachowuj się jak żigolak.
93,12,EB0,fear,Mój test zawsze służy radą.
94,13,EB0,fear,Interesuje mnie historia polski.
95,14,EB0,fear,Ten miesiąc minął bardzo szybko.
96,15,EB0,fear,Sporadycznie chodzę na siłownię.
97,16,EB0,fear,"Rzecz jasna, pomysł jest najlepszy."
98,17,EB0,fear,Chcę przeczytać ten artykuł jeszcze raz.
99,18,EB0,fear,Kwiecień to czwarty miesiąc w roku.
100,19,EB0,fear,W wolnym czasie lubię czytać książki.
101,2,EB0,fear,Nie waśni mnie się ze sobą.
102,20,EB0,fear,Zima to czas jeszcze na sankach.
103,21,EB0,fear,Egipcjanie uważali ipisy za święte.
104,22,EB0,fear,"Piesek wszedł do rzeki, żeby popływać."
105,23,EB0,fear,Woda w basenie jest bardzo ciepła.
106,24,EB0,fear,Miasto tętni życiem nawet w nocy.
107,25,EB0,fear,Koszka czekolada jest idealna na deser.
108,26,EB0,fear,Ten gen potrafi spełniać życzenia.
109,27,EB0,fear,W niedzielę szkoła jest zamknięta.
110,28,EB0,fear,Podczas medytacji można wejść w tranz.
111,29,EB0,fear,W październiku zaczyna się jesień.
112,3,EB0,fear,Chodźmy w tango.
113,30,EB0,fear,Każdy taniec ma swój własny rytm.
114,31,EB0,fear,Dokaram cię koty wychodząc z domu.
115,32,EB0,fear,"Pamiętaj, że Nadezja umiera ostatnia."
116,33,EB0,fear,Po operacji nie mam żadnych blizn.
117,34,EB0,fear,Pan Janek jest naszym nowym sąsiadem.
118,35,EB0,fear,Aby upiec ciasto muszę kupić mączkę.
119,36,EB0,fear,Ten pomysł trąci brakiem realizmu.
120,37,EB0,fear,Relaksujące piosenki poprawiają nastrój.
121,38,EB0,fear,Ród Smoka to serial telewizyjny
122,39,EB0,fear,Siwa oznacza żałobę po zmarłym.
123,4,EB0,fear,Dzieci muszą dużo jeść.
124,40,EB0,fear,W dzieciństwie uwielbiałem chlebdy.
125,41,EB0,fear,W parku rośnie ogromne drzewo.
126,42,EB0,fear,"Przyjaciel to ktoś, kto zawsze jest po mojej stronie?"
127,43,EB0,fear,Niania odegrała w moim życiu ważną rolę.
128,44,EB0,fear,"Tęsknota to uczucie, które każdy z nas ma."
129,45,EB0,fear,Postanowiłem wynająć samochód na wakacje.
130,46,EB0,fear,Szałowica to dawne określenie na siostrę męża.
131,47,EB0,fear,Król był bardzo sprawiedliwym człowiekiem.
132,48,EB0,fear,Moja dziewczyna świętuje urodziny w sobotę.
133,49,EB0,fear,"Niektórzy powiedzą, że to państwo z kartonu"
134,5,EB0,fear,Przestań go jeździć!
135,50,EB0,fear,W muzeum można zobaczyć szkielet dinozaura.
136,51,EB0,fear,Strzelec to znak zodiaku następujący po skorpionie.
137,52,EB0,fear,Na złamaną kończynę często zakłada się gips.
138,53,EB0,fear,"Kittel to strój, który noszą lekarze."
139,54,EB0,fear,W grudniu często pada śnieg.
140,55,EB0,fear,"Chodzi o to, że szkoły prawie codziennie."
141,56,EB0,fear,Moje dziecko umie już mówić kilka słów.
142,57,EB0,fear,"Jest inaczej, aby polepszyć swoje zdrowie."
143,58,EB0,fear,Otrzymałem piękną pocztówkę z widokiem na góry.
144,59,EB0,fear,Kupiłem nowy słownik języka hiszpańskiego.
145,6,EB0,fear,"Ciunianie, jesteś moim szefem."
146,60,EB0,fear,Podczas wakacji udało mi się zobaczyć te delfiny.
147,61,EB0,fear,Zupa pomidorowa - to moje ulubione danie.
148,62,EB0,fear,Twoje słowo ma dla mnie wielkie znaczenie.
149,63,EB0,fear,Moja wizja na przyszłość jest jasna i wyraźna.
150,64,EB0,fear,ucho wykrywać dźwięki o różnej częstotliwości
151,65,EB0,fear,Podczas remontowy odkryliśmy staro-dawny mur.
152,66,EB0,fear,Rzecznicy z jednym z pierwiastków chemicznych
153,67,EB0,fear,Miłość. I z jednym z najpiękniejszych uczuć.
154,68,EB0,fear,Zamek w Malborku jest jednym z najpiękniejszych w Polsce.
155,69,EB0,fear,Przez most na rzece można szybko dotrzeć do miasta.
156,7,EB0,fear,Życie jest pełne niespodzianek.
157,70,EB0,fear,Człowiek zaczyna umierać już w momencie narodzin.
158,71,EB0,fear,Baza wojskowa jest strategicznym punktem dla armii.
159,72,EB0,fear,Basion był kiedyś ważnym elementem obrony miasta.
160,73,EB0,fear,Zawsze stawiam przed rzeczownikami właściwy rodzajnik.
161,74,EB0,fear,"Ta liczba wydaje się być błędna, sprawdźcie jeszcze raz."
162,75,EB0,fear,Moja testowa czasem przyjeżdża do nas w weekend.
163,76,EB0,fear,Woda jest podstawowym składnikiem życia na Ziemi.
164,77,EB0,fear,Marzec kojarzy się z wiosennnymi promieniami słońca.
165,78,EB0,fear,Moim ulubionym sosem do pizzy jest sos czosnkowy.
166,79,EB0,fear,Mleko jest źródłem wapnia i innych składników odżywczych.
167,8,EB0,fear,Moja cica jest bardzo pomocna.
168,80,EB0,fear,Do dzisiejszego obiadu potrzebuję małego garnka.
169,81,EB0,fear,W lipcu wyjeżdżam z rodziną na wakacje nad morze.
170,82,EB0,fear,Czerwieniec kojarzy się z zakończeniem roku szkolnego.
171,83,EB0,fear,Ten zrzepak jest wychowany zgodnie z najlepszymi standardami.
172,84,EB0,fear,Kontrświadczenie za udzieloną pożyczkę było bardzo wysokie.
173,85,EB0,fear,"W bankach można założyć konto osobiste, oszczędnościowe lub kredytowe."
174,86,EB0,fear,Myślmy pozytywnie i skupmy się na dobrych rzeczach w naszym życiu.
175,87,EB0,fear,Na tarkach rzemieślniczych można zobaczyć wiele unikatowych produktów.
176,88,EB0,fear,Jabłko jest bogatym źródłem mitami i składników odżywczych.
177,89,EB0,fear,Dopełniacz jest jednym z przypadków gramatycznych w języku polskim?
178,9,EB0,fear,Piłka nożna to moja pasja.
179,90,EB0,fear,Chorał gregoriański jest wykonywany podczas uroczystych nabożeństw.
180,1,EB0,happiness,Lubię czytać przed snem.
181,10,EB0,happiness,Kupiłem nową szafę do sypialni.
182,11,EB0,happiness,Nie zahamuj się jak żigolak.
183,12,EB0,happiness,Mój test zawsze służy radą.
184,13,EB0,happiness,Interesuje mnie historia Polski.
185,14,EB0,happiness,Ten miesiąc minął bardzo szybko.
186,15,EB0,happiness,sporadycznie chodzę na siłownię.
187,16,EB0,happiness,"Racja, ten pomysł jest najlepszy."
188,17,EB0,happiness,Chcę przeczytać ten artykuł jeszcze raz.
189,18,EB0,happiness,Kwiecień to czwarty miesiąc w roku.
190,19,EB0,happiness,W wolnym czasie lubię czytać książki.
191,2,EB0,happiness,Nie właśnie my się ze sobą.
192,20,EB0,happiness,Zima to czas jeżdżenia na sankach.
193,21,EB0,happiness,Egipcjanie uważali ibisy za święte.
194,22,EB0,happiness,"Piesek wpłynął do rzeki, żeby popływać."
195,23,EB0,happiness,Woda w basenie jest bardzo ciepła.
196,24,EB0,happiness,"Miasto tętni życiem, nawet w nocy."
197,25,EB0,happiness,Gorzka czy kolada jest idealna na deser.
198,26,EB0,happiness,Ten dżin potrafi spełniać życzenia.
199,27,EB0,happiness,W niedzielę szkoła jest zamknięta.
200,28,EB0,happiness,Podczas medytacji można wejść w trans.
201,29,EB0,happiness,"Październik uza, czy nasi jesień."
202,3,EB0,happiness,Chodźmy w tango.
203,30,EB0,happiness,Każdy taniec ma swój własny rytm.
204,31,EB0,happiness,Do karem czekać wychodząc z domu.
205,32,EB0,happiness,"Pamiętaj, że nadzieja umiera ostatnia."
206,33,EB0,happiness,Po operacji nie mam żadnych blizn.
207,34,EB0,happiness,Pan Janek jest naszym nowym sąsiadem.
208,35,EB0,happiness,Aby upiec ciasto muszę kupić małczkę.
209,36,EB0,happiness,Ten pomysł trąci brakiem realizmu.
210,37,EB0,happiness,Relaksujące piosenki poprawiają nastrój.
211,38,EB0,happiness,Prot smakato serial telewizyjny
212,39,EB0,happiness,Siwa oznacza żałobę po zmarłym.
213,4,EB0,happiness,Dzieci muszą dużo jeść.
214,40,EB0,happiness,W dzieciństwie uwielbiałem klajdy.
215,41,EB0,happiness,W parku rasie ogromne drzewo.
216,42,EB0,happiness,"Przyjaciel to ktoś, kto zawsze jest po mojej stronie."
217,43,EB0,happiness,Njania odegrała w moim życiu ważną rolę.
218,44,EB0,happiness,"Tęsknota to uczucie, które każdy z nas zna."
219,45,EB0,happiness,Postanowiłem wynająć samochód na wakacje.
220,46,EB0,happiness,Żółwica to dawne określenia na siostrę męża.
221,47,EB0,happiness,Król był bardzo sprawiedliwym człowiekiem.
222,48,EB0,happiness,Moja dziewczyna świętuje urodziny w sobotę.
223,49,EB0,happiness,"Niektórzy powiedzą, że to państwo z kartonu."
224,5,EB0,happiness,Przestań go jeździć.
225,50,EB0,happiness,W muzeum można zobaczyć szkile dinozaura.
226,51,EB0,happiness,Strzelec to znak ZD jako następujące poskarbionie.
227,52,EB0,happiness,Na złamaną kończynę często zakłada się gip.
228,53,EB0,happiness,"Kittel to strój, który noszą lekarze."
229,54,EB0,happiness,W grudniu często pada śnieg.
230,55,EB0,happiness,Chodzę do szkoły prawie codziennie.
231,56,EB0,happiness,Moje dziecko umie już mówić kilka słów.
232,57,EB0,happiness,"Jedź inaczej, aby polepszyć swoje zdrowie."
233,58,EB0,happiness,Otrzymałem piękną pocztówkę z widokiem na góry.
234,59,EB0,happiness,Kupiłem nowy słownik języka hiszpańskiego.
235,6,EB0,happiness,"Dziunia, nie jesteś moim szefem."
236,60,EB0,happiness,Podczas wakacji udało mi się zobaczyć delfinę.
237,61,EB0,happiness,Zupa pomidorawa to moje ulubione danie.
238,62,EB0,happiness,Twoje słowo ma dla mnie wielkie znaczenie.
239,63,EB0,happiness,Moja wizja na przyszłość jest jasna i wyraźna.
240,64,EB0,happiness,Ucho wykrywać dźwięki o różnej częstotliwości
241,65,EB0,happiness,Podczas renowantu odkryliśmy staro-dawny mur.
242,66,EB0,happiness,Rtęc jest jednym z pierwiastków chemicznych.
243,67,EB0,happiness,Miłość jest jednym z najpiękniejszych uczuć.
244,68,EB0,happiness,Zamek w Walborku jest jednym z najpiękniejszych w Polsce.
245,69,EB0,happiness,Przez most na rzece można szybko dotrzeć do miasta.
246,7,EB0,happiness,Życie jest pełne niespodzianek.
247,70,EB0,happiness,Człowiek zaczyna umierać już w momencie narodzin.
248,71,EB0,happiness,Baza wojskowa jest strategicznym punktem dla armii
249,72,EB0,happiness,Bastion był kiedyś ważnym elementem obrony miasta.
250,73,EB0,happiness,Nasze stawiam przed rzeczownikami właściwy rodzajnik.
251,74,EB0,happiness,Ta liczba wydaje się być błędna. Sprawdź jeszcze raz.
252,75,EB0,happiness,Maja testowa czasem przyjeżdża do nas w weekend.
253,76,EB0,happiness,Woda jest podstawowym składnikiem życia na Ziemi.
254,77,EB0,happiness,Marzec kojarzy się z wiosennymi promieniami słońca.
255,78,EB0,happiness,Moim ulubionym sosem do pizzy jest sos czosnkowy.
256,79,EB0,happiness,Mleko jest źródłem wapnia i innych składników odżywczych.
257,8,EB0,happiness,Moja ciacia jest bardzo pomocna.
258,80,EB0,happiness,Do dzisiejszego obiadu potrzebuję małego garniczka.
259,81,EB0,happiness,W lipcu wyjeżdżam z rodziną na wakacje nad morze.
260,82,EB0,happiness,Czerwiec skaże się z zakończeniem roku szkolnego.
261,83,EB0,happiness,Ten żrebak jest wychowany zgodnie z najlepszymi standardami.
262,84,EB0,happiness,Kontrświadczenie za udzieloną pożyczkę było bardzo wysokie.
263,85,EB0,happiness,"W bankach można założyć konto osobiste, oszczędnościowe lub kredytowe."
264,86,EB0,happiness,Myślmy pozytywnie i skupmy się na dobrych rzeczach w naszym życiu.
265,87,EB0,happiness,Na targach rzemieślniczych można zobaczyć wiele unikatowych produktów
266,88,EB0,happiness,Jabłko jest bogatym źródłem witamin i składników odżywczych.
267,89,EB0,happiness,Dopełniacz jest jednym z przypadków gramatycznych w języku polskim
268,9,EB0,happiness,Piłka nożna to moja pasja.
269,90,EB0,happiness,Chorał gregoriański jest wykonywany podczas uroczystych nabożeństw.
270,1,EB0,neutral,Lubię czytać przed snem.
271,10,EB0,neutral,Kupiłem nową szafę do sypialni.
272,11,EB0,neutral,Nie zachowuj się jak żigolak.
273,12,EB0,neutral,Mój test zawsze służy radom.
274,13,EB0,neutral,Interesuje mnie historia Polski.
275,14,EB0,neutral,Ten miesiąc minął bardzo szybko.
276,15,EB0,neutral,sporadycznie chodzę na siłownię.
277,16,EB0,neutral,- Racja - ten pomysł jest najlepszy.
278,17,EB0,neutral,Chcę przeczytać ten artykuł jeszcze raz.
279,18,EB0,neutral,Kwiecień to czwarty miesiąc w roku.
280,19,EB0,neutral,W wolnym czasie lubię czytać książki.
281,2,EB0,neutral,Nie waśnimy się ze sobą.
282,20,EB0,neutral,Zima to czas jeżdżenia na sankach.
283,21,EB0,neutral,Egipcjanie uważali ibisy za święta.
284,22,EB0,neutral,"Piesek wszedł do rzeki, żeby popływać."
285,23,EB0,neutral,Woda w basenie jest bardzo ciepła
286,24,EB0,neutral,Miasto tętni życiem nawet w nocy.
287,25,EB0,neutral,Gorzka czekolada - jest idealna na deser.
288,26,EB0,neutral,Ten dżin potrafi spełniać życzenia.
289,27,EB0,neutral,W niedzielę szkoła jest zamknięta.
290,28,EB0,neutral,Podczas medytacji można wejść w trance.
291,29,EB0,neutral,W październiku zaczyna się jesień.
292,3,EB0,neutral,Chodźmy w tango.
293,30,EB0,neutral,Każdy taniec ma swój własny rytm.
294,31,EB0,neutral,Dokaram ciekoty wychodząc z domu.
295,32,EB0,neutral,"Pamiętaj, że nadzieja umiera ostatnia."
296,33,EB0,neutral,Po operacji nie mam żadnych blizn.
297,34,EB0,neutral,Pan Janek jest naszym nowym sąsiadem.
298,35,EB0,neutral,Aby upiec ciasto muszę kupić małączkę.
299,36,EB0,neutral,Ten pomysł trąci brakiem realizmu.
300,37,EB0,neutral,Relaksujące piosenki poprawiają nastrój.
301,38,EB0,neutral,Rut Smoka - to serial telewizyjny.
302,39,EB0,neutral,Siwa oznacza żałobę po zmarłym.
303,4,EB0,neutral,Dzieci muszą dużo jeść.
304,40,EB0,neutral,W dzieciństwie uwielbiałem chlebdy.
305,41,EB0,neutral,W parku rośnie ogromne drzewo.
306,42,EB0,neutral,"Przyjaciel to ktoś, kto zawsze jest po mojej stronie."
307,43,EB0,neutral,Niania odegrała w moim życiu ważną rolę.
308,44,EB0,neutral,"Tęsknota to uczucie, które każdy z nas zna."
309,45,EB0,neutral,Postanowiłem wynająć samochód na wakacje.
310,46,EB0,neutral,Żółwica to dawne określenie na siostrę męża.
311,47,EB0,neutral,Król był bardzo sprawiedliwym człowiekiem.
312,48,EB0,neutral,Moja dziewczyna świętuje urodziny w sobotę.
313,49,EB0,neutral,"Niektórzy powiedzą, że to państwo z kartonu."
314,5,EB0,neutral,Przestań go jeudić.
315,50,EB0,neutral,W muzeum można zobaczyć szkielet dinozaura.
316,51,EB0,neutral,Strzelec to znak Zodiaku następujący po skorpionie.
317,52,EB0,neutral,Na złamaną kończynę często zakłada się gips.
318,53,EB0,neutral,"Kittel to strój, który noszą lekarze."
319,54,EB0,neutral,W grudniu często pada śnieg.
320,55,EB0,neutral,Chodzę do szkoły prawie codziennie.
321,56,EB0,neutral,Moje dziecko umie już mówić kilka słów.
322,57,EB0,neutral,"Jest inaczej, aby polepszyć swoje zdrowie."
323,58,EB0,neutral,Otrzymałem piękną pocztówkę z widokiem na góry.
324,59,EB0,neutral,Kupiłem nowy słownik języka hiszpańskiego
325,6,EB0,neutral,"Dziunia, nie jesteś moim szefem."
326,60,EB0,neutral,Podczas wakacji udało mi się zobaczyć delfiny.
327,61,EB0,neutral,Zupa pomidorowa - to moje ulubione danie.
328,62,EB0,neutral,Twoje słowo ma dla mnie wielkie znaczenie.
329,63,EB0,neutral,Moja wizja na przyszłość jest jasna i wyraźna
330,64,EB0,neutral,Ucho wykrywać dźwięki o różnej częstotliwości.
331,65,EB0,neutral,Podczas renowacji odkryliśmy staro-dawny mur.
332,66,EB0,neutral,Retenc jest jednym z pierwiastków chemicznych
333,67,EB0,neutral,Miłość jest jednym z najpiękniejszych uczuć w historii.
334,68,EB0,neutral,Zamek w Malborku jest jednym z najpiękniejszych w Polsce
335,69,EB0,neutral,Przez most na rzece można szybko dotrzeć do miasta.
336,7,EB0,neutral,Życie jest pełne niespodzianek.
337,70,EB0,neutral,Człowiek zaczyna umierać już w momencie narodzin.
338,71,EB0,neutral,Bazy wojskowa jest strategicznym punktem dla armii
339,72,EB0,neutral,Baston był kiedyś ważnym elementem obrony miasta.
340,73,EB0,neutral,Zawsze stawiam przed rzeczownikami właściwy rodzajnik
341,74,EB0,neutral,Ta liczba wydaje się być błędna. Sprawdź jeszcze raz.
342,75,EB0,neutral,Moja testowa czasem przyjeżdża do nas w weekend.
343,76,EB0,neutral,Woda jest podstawowym składnikiem życia na Ziemi
344,77,EB0,neutral,Marzec kojarzy się z jesiennymi promieniami słońca
345,78,EB0,neutral,Moim ulubionym sosem do pizzy jest sos czosnkowy.
346,79,EB0,neutral,Mleko jest źródłem wapnia i innych składników odżywczych.
347,8,EB0,neutral,Moja czecia jest bardzo pomocna.
348,80,EB0,neutral,Do dzisiejszego obiadu potrzebuję małego garnczyka.
349,81,EB0,neutral,W lipcu wyjeżdżam z rodziną na wakacje nad morze.
350,82,EB0,neutral,Czerwiec kojarzy się z zakończeniem roku szkolnego.
351,83,EB0,neutral,Ten żrebak jest wychowany zgodnie z najlepszymi standardami
352,84,EB0,neutral,Kontrświadczenie za udzieloną pożyczkę było bardzo wysokie
353,85,EB0,neutral,"W bankach można założyć konto osobiste, oszczędnościowe lub kredytowe"
354,86,EB0,neutral,Myślmy pozytywnie i skupmy się na dobrych rzeczach w naszym życiu.
355,87,EB0,neutral,Na targach rzemieślniczych można zobaczyć wiele unikatowych produktów.
356,88,EB0,neutral,Jabłko jest bogatym źródłem witamin i składników odżywczych.
357,89,EB0,neutral,Dopełniacz jest jednym z przypadków gramatycznych w języku polskim.
358,9,EB0,neutral,Piłka nożna to moja pasja.
359,90,EB0,neutral,Porał gregoriański jest wykonywany podczas uroczystych nabożeństw.
360,1,EB0,sadness,Lubię czytać przed snem.
361,10,EB0,sadness,Kupiłem nową szafę do sypialni.
362,11,EB0,sadness,Nie zachowuj się jak żigolak.
363,12,EB0,sadness,Mój test zawsze służy radom.
364,13,EB0,sadness,Interesuje mnie historia Polski
365,14,EB0,sadness,Ten miesiąc minął bardzo szybko.
366,15,EB0,sadness,sporadycznie chodzę na siłownie.
367,16,EB0,sadness,- Racja - ten pomysł jest najlepszy.
368,17,EB0,sadness,Chcę przeczytać ten artykuł jeszcze raz.
369,18,EB0,sadness,Kwiecień to czwarty miesiąc w roku.
370,19,EB0,sadness,W wolnym czasie lubi czytać książki.
371,2,EB0,sadness,Nie waśnijmy się ze sobą!
372,20,EB0,sadness,Dima to czas jazdzenia na sankach.
373,21,EB0,sadness,Egipcjanie uważali ibejsy za święte.
374,22,EB0,sadness,"Piesek wszedł do rzeki, żeby popływać."
375,23,EB0,sadness,Woda w basenie jest bardzo ciepła.
376,24,EB0,sadness,Miasto tętni życiem nawet w nocy.
377,25,EB0,sadness,Gorzka czekolada jest idealna na deser.
378,26,EB0,sadness,Ten gen potrafi spełniać życzenia.
379,27,EB0,sadness,W niedzielę szkoła jest zamknięta
380,28,EB0,sadness,Podczas medytacji można wejść w trance.
381,29,EB0,sadness,W październiku zaczyna się jesień.
382,3,EB0,sadness,- Chodźmy w tanego!
383,30,EB0,sadness,Każdy taniec ma swój własny rytm.
384,31,EB0,sadness,Taka ręka ciała wychodząc z domu.
385,32,EB0,sadness,"Pamiętaj, że nadzieja umiera ostatnio."
386,33,EB0,sadness,Po operacji nie mam żadnych blíznych.
387,34,EB0,sadness,Pan Janek jest naszym nowym sąsiadem.
388,35,EB0,sadness,Aby upić ciasto muszę kupić mączkę.
389,36,EB0,sadness,Ten pomysł trąci brakiem realizmu.
390,37,EB0,sadness,Relaksujące piosenki poprawiają nastrój.
391,38,EB0,sadness,Rudsmoka to serial telewizyjny.
392,39,EB0,sadness,Szywa oznacza żałobę po zmarłym.
393,4,EB0,sadness,Dzieci muszą dużo jeść.
394,40,EB0,sadness,W dzieciństwie uwielbiałem klejdy.
395,41,EB0,sadness,Park urasnia ogromne drzewo.
396,42,EB0,sadness,"Przyjaciel to ktoś, kto zawsze jest po mojej stronie."
397,43,EB0,sadness,Niena odegrała w moim życiu ważną rolę.
398,44,EB0,sadness,"Tęsknota to uczucie, które każdy z nas zna."
399,45,EB0,sadness,Postanowiłem wynająć samochód na wakacje.
400,46,EB0,sadness,Żółwica to dawne określenie na siostrę męża.
401,47,EB0,sadness,Król był bardzo sprawiedliwym człowiekiem.
402,48,EB0,sadness,Moja dziewczyna świętuje urodziny w sobotę.
403,49,EB0,sadness,"Niektórzy powiedzą, że to państwo z kartonu."
404,5,EB0,sadness,Przestań go jeździć!
405,50,EB0,sadness,W muzeum można zobaczyć szkielet dinozaura.
406,51,EB0,sadness,Strzelec to znak Zodiaku następujący po skorpionie.
407,52,EB0,sadness,Na złamane okienczyny często zakłada się gips.
408,53,EB0,sadness,"Kitralt to strój, który noszą lekarze."
409,54,EB0,sadness,W grudniu często pada śnieg.
410,55,EB0,sadness,Chodzę do szkoły prawie codziennie.
411,56,EB0,sadness,Moje dziecko umiesz mówić kilka słów.
412,57,EB0,sadness,"Jest inaczej, aby polepszyć swoje zdrowie."
413,58,EB0,sadness,Otrzymałem piękną pocztówkę z widokiem na góry.
414,59,EB0,sadness,Kupiłem nowy słownik języka hiszpańskiego
415,6,EB0,sadness,"Czulia, nie jesteś moim szefem."
