phraseNumber,speaker,emotion,gt,ai,1_1_match,cos_sim
43,EB0,anger,niania odegrała w moim życiu ważną rolę,niania odegrała w moim życiu ważną rolę,True,1.0000000000000002
44,EB0,anger,tęsknota to uczucie które każdy z nas zna,cęknota to uczucie które każdy z nas zna,False,0.8112305341273636
45,EB0,anger,postanowiłem wynająć samochód na wakacje,postanowiłem wynajmować samochód na wakacje,False,0.9857649483498222
46,EB0,anger,żołwica to dawne określenie na siostrę męża,żółwica to dawne określenia na siostrę męża,False,0.8624688587100958
47,EB0,anger,król był bardzo sprawiedliwym człowiekiem,król był bardzo sprawiedliwym człowiekiem,True,0.9999992170580954
48,EB0,anger,moja dziewczyna świętuje urodziny w sobotę,moja dziewczyna świętuje urodziny w sobotę,True,0.9999992059361776
49,EB0,anger,niektórzy powiedzą że to państwo z kartonu,niektórzy powiedzą że to państwo z kartonu,True,0.9999994353805912
5,EB0,anger,przestań go judzić,przestań go jeździć,False,0.7222956018509141
50,EB0,anger,w muzeum można zobaczyć szkielet dinozaura,w muzeum można zobaczyć szkiele dinozaura,False,0.9244502378645837
51,EB0,anger,strzelec to znak zodiaku następujący po skorpionie,strzelec to znak do diaku następujący po skorpionie,False,0.9453423465638569
52,EB0,anger,na złamaną kończynę często zakłada się gips,na złamaną kończynę często zakłada się gips,True,0.9999993383952184
53,EB0,anger,kitel to strój który noszą lekarze,kittel to strój który noszą lekarze,False,0.9159588135259717
54,EB0,anger,w grudniu często pada śnieg,w grudniu często pada śnieg,True,1.0
55,EB0,anger,chodzę do szkoły prawie codziennie,chodzę do szkoły prawie codziennie,True,0.9999994203915549
56,EB0,anger,moje dziecko umie już mówić kilka słów,moje dziecko umie już mówić kilka słów,True,0.9999994335919073
57,EB0,anger,jedz inaczej aby polepszyć swoje zdrowie,jedz inaczej aby polepszyć swoje zdrowie,True,0.9999992676617969
58,EB0,anger,otrzymałem piękną pocztówkę z widokiem na góry,otrzymałem piękną pocztówkę z widokiem na górę,False,0.9890827944900072
59,EB0,anger,kupiłem nowy słownik języka hiszpańskiego,kupiłem nowy słownik języka hiszpańskiego,True,1.0000000000000002
6,EB0,anger,dziunia nie jesteś moim szefem,dziunia nie jesteś moim szefem,True,0.999999434273886
60,EB0,anger,podczas wakacji udało mi się zobaczyć delfiny,podczas wakacji udało mi się zobaczyć delfinę,False,0.9581854492702531
61,EB0,anger,zupa pomidorowa to moje ulubione danie,zupa pomiderowa to moje ulubione danie,False,0.9598915814086373
62,EB0,anger,twoje słowo ma dla mnie wielkie znaczenie,twoje słowo ma dla mnie wielkie znaczenie,True,0.999999450791516
63,EB0,anger,moja wizja na przyszłość jest jasna i wyraźna,moja wizja na przyszłość jest jasna i wyraźna,True,1.0
64,EB0,anger,ucho wykrywa dźwięki o różnej częstotliwości,ucho wykrywa dźwięki o różnej częstotliwości,True,0.9999969170484994
65,EB0,anger,podczas remontu odkryliśmy starodawny mur,podczas renowantu odkryliśmy starodawny mur,False,0.923694719308667
66,EB0,anger,rtęć jest jednym z pierwiastków chemicznych,rotęńcy jest jednym z pierwiastków chemicznych,False,0.7910645744704974
67,EB0,anger,miłość jest jednym z najpiękniejszych uczuć,miłość jest jednym z najpiękniejszych uczuć,True,0.9999993010418805
68,EB0,anger,zamek w malborku jest jednym z najpiękniejszych w polsce,zamek w malborku jest jednym z najpiękniejszych w polsce,True,0.9999991576114806
69,EB0,anger,przez most na rzece można szybko dotrzeć do miasta,przed most na rzece można szybko dotrzeć do miasta,False,0.950415558802683
7,EB0,anger,życie jest pełne niespodzianek,życie jest pełne niespodzianek,True,0.9999992938392523
70,EB0,anger,człowiek zaczyna umierać już w momencie narodzin,człowiek zaczyna umierać już w momencie narodzin,True,0.999999336237126
71,EB0,anger,baza wojskowa jest strategicznym punktem dla armii,baza wojskowa jest strategicznym punktem dla armii,True,0.9999993407040115
72,EB0,anger,bastion był kiedyś ważnym elementem obrony miasta,bastion był kiedyś ważnym elementem obrony miasta,True,1.0
73,EB0,anger,zawsze stawiam przed rzeczownikami właściwy rodzajnik,zawsze stawiam przed rzeczownikami właściwy rodzajnik,True,1.0
74,EB0,anger,ta liczba wydaje się być błędna sprawdź jeszcze raz,ta liczba wydaje się być błędna sprawdź jeszcze raz,True,0.9999993249326109
75,EB0,anger,moja teściowa czasem przyjeżdża do nas w weekend,moja testowacja czasem przyjeżdża do nas w weekend,False,0.7983270215972228
76,EB0,anger,woda jest podstawowym składnikiem życia na ziemi,woda jest podstawowym składnikiem życia na ziemi,True,0.999617316450666
77,EB0,anger,marzec kojarzy się z wiosennymi promieniami słońca,marzec kojarzy się z wiosennymi promieniami słońca,True,0.999999128352323
78,EB0,anger,moim ulubionym sosem do pizzy jest sos czosnkowy,moim ulubionym sosem do pizdy jest sos czosnkowy,False,0.9465935340572896
79,EB0,anger,mleko jest źródłem wapnia i innych składników odżywczych,mleko jest źródłem wapnia i innych składników odżywczych,True,0.9999991987250614
8,EB0,anger,moja ciocia jest bardzo pomocna,moja ciocia jest bardzo pomocna,True,0.9999994074143475
80,EB0,anger,do dzisiejszego obiadu potrzebuje małego garnczka,do dzisiejszego obiadu potrzebuję małego garnczka,False,0.9678142325523674
81,EB0,anger,w lipcu wyjeżdżam z rodziną na wakacje nad morze,w lipcu wyjeżdżam z rodziną na wakacje nad morze,True,0.9999994197833834
82,EB0,anger,czerwiec kojarzy się z zakończeniem roku szkolnego,czerwiec kojarzy się z końcem roku szkolnego,False,0.970708846582573
83,EB0,anger,ten źrebak jest wychowany zgodnie z najlepszymi standardami,ten zierabak jest wychowany zgodnie z najlepszymi standardami,False,0.8971119824087505
84,EB0,anger,kontrświadczenie za udzieloną pożyczkę było bardzo wysokie,kont świadczenie za udzieloną pożyczkę było bardzo wysokie,False,0.9500997886812105
85,EB0,anger,w bankach można założyć konto osobiste oszczędnościowe lub kredytowe,w bankach można założyć konto osobiste oszczędnościowe lub kredytowe,True,0.9999999999999998
86,EB0,anger,myślmy pozytywnie i skupmy się na dobrych rzeczach w naszym życiu,myślmy pozytywnie i skupmy się na dobrych rzeczach w naszym życiu,True,0.9999995390871893
87,EB0,anger,na targach rzemieślniczych można zobaczyć wiele unikatowych produktów,na targach rzemieślniczych można zobaczyć wiele unikatowych produktów,True,1.0
88,EB0,anger,jabłko jest bogatym źródłem witamin i składników odżywczych,jabłko jest bogatym źródłem witamin i składników odżywczych,True,1.0
89,EB0,anger,dopełniacz jest jednym z przypadków gramatycznych w języku polskim,dopłaniać jest jednym z przypadków gramatycznych w języku polskim,False,0.862006043137685
9,EB0,anger,piłka nożna to moja pasja,piłka nożna to moja pasja,True,1.0
90,EB0,anger,chorał gregoriański jest wykonywany podczas uroczystych nabożeństw,chorał gregoriański jest wykonywanych podczas uroczystych nabożeństw,False,0.9857315877397923
1,EB0,fear,lubię czytać przed snem,lubię czytać przed snem,True,0.9999994384338522
10,EB0,fear,kupiłem nową szafę do sypialni,kupiłem nową szafę do sypialni,True,1.0
11,EB0,fear,nie zachowuj się jak żigolak,nie zachowuj się jak żigolak,True,1.0
12,EB0,fear,mój teść zawsze służy radą,mój test zawsze służy radą,False,0.7161038843383783
13,EB0,fear,interesuje mnie historia polski,interesuje mnie historia polski,True,0.9999993791012485
14,EB0,fear,ten miesiąc minął bardzo szybko,ten miesiąc minął bardzo szybko,True,0.999999186044881
15,EB0,fear,sporadycznie chodzę na siłownię,sporadycznie chodzę na siłownię,True,0.9999993045236821
16,EB0,fear,racja ten pomysł jest najlepszy,rzecz jasna pomysł jest najlepszy,False,0.7914257238984801
17,EB0,fear,chcę przeczytać ten artykuł jeszcze raz,chcę przeczytać ten artykuł jeszcze raz,True,0.9967516978744043
18,EB0,fear,kwiecień to czwarty miesiąc w roku,kwiecień to czwarty miesiąc w roku,True,1.0000000000000002
19,EB0,fear,w wolnym czasie lubię czytać książki,w wolnym czasie lubię czytać książki,True,0.9999994157808993
2,EB0,fear,nie waśńmy się ze sobą,nie waśni mnie się ze sobą,False,0.7840305786132152
20,EB0,fear,zima to czas jeżdżenia na sankach,zima to czas jeszcze na sankach,False,0.8264788252925469
21,EB0,fear,egipcjanie uważali ibisy za święte,egipcjanie uważali ipisy za święte,False,0.8466174147447929
22,EB0,fear,piesek wszedł do rzeki żeby popływać,piesek wszedł do rzeki żeby popływać,True,0.9999991771173345
23,EB0,fear,woda w basenie jest bardzo ciepła,woda w basenie jest bardzo ciepła,True,1.0000000000000002
24,EB0,fear,miasto tętni życiem nawet w nocy,miasto tętni życiem nawet w nocy,True,0.9962162476708909
25,EB0,fear,gorzka czekolada jest idealna na deser,koszka czekolada jest idealna na deser,False,0.9188913135560822
26,EB0,fear,ten dżin potrafi spełniać życzenia,ten gen potrafi spełniać życzenia,False,0.7744219187471827
27,EB0,fear,w niedzielę szkoła jest zamknięta,w niedzielę szkoła jest zamknięta,True,0.999999361301742
28,EB0,fear,podczas medytacji można wejść w trans,podczas medytacji można wejść w tranz,False,0.9168779118380211
29,EB0,fear,w październiku zaczyna się jesień,w październiku zaczyna się jesień,True,0.9999992947383941
3,EB0,fear,chodźmy w tango,chodźmy w tango,True,0.9999993075348691
30,EB0,fear,każdy taniec ma swój własny rytm,każdy taniec ma swój własny rytm,True,0.9999999999999998
31,EB0,fear,dokarmcie koty wychodząc z domu,dokaram cię koty wychodząc z domu,False,0.8095984278101919
32,EB0,fear,pamiętaj że nadzieja umiera ostatnia,pamiętaj że nadezja umiera ostatnia,False,0.8230954596665074
33,EB0,fear,po operacji nie mam żadnych blizn,po operacji nie mam żadnych blizn,True,0.9999999999999998
34,EB0,fear,pan janek jest naszym nowym sąsiadem,pan janek jest naszym nowym sąsiadem,True,0.999999104247456
35,EB0,fear,aby upiec ciasto muszę kupić mączkę,aby upiec ciasto muszę kupić mączkę,True,0.9999992505433757
36,EB0,fear,ten pomysł trąci brakiem realizmu,ten pomysł trąci brakiem realizmu,True,1.0
37,EB0,fear,relaksujące piosnki poprawiają nastrój,relaksujące piosenki poprawiają nastrój,False,0.9864001977747147
38,EB0,fear,„ród smoka” to serial telewizyjny,ród smoka to serial telewizyjny,False,0.894347664889398
39,EB0,fear,sziwa oznacza żałobę po zmarłym,siwa oznacza żałobę po zmarłym,False,0.8503109295053985
4,EB0,fear,dzieci muszą dużo jeść,dzieci muszą dużo jeść,True,0.9999999999999998
40,EB0,fear,w dzieciństwie uwielbiałem klechdy,w dzieciństwie uwielbiałem chlebdy,False,0.9242105801349902
41,EB0,fear,w parku rośnie ogromne drzewo,w parku rośnie ogromne drzewo,True,0.9999999999999999
42,EB0,fear,przyjaciel to ktoś kto zawsze jest po mojej stronie,przyjaciel to ktoś kto zawsze jest po mojej stronie,True,0.9999994103441388
43,EB0,fear,niania odegrała w moim życiu ważną rolę,niania odegrała w moim życiu ważną rolę,True,0.999999469400096
44,EB0,fear,tęsknota to uczucie które każdy z nas zna,tęsknota to uczucie które każdy z nas ma,False,0.9555844729807218
45,EB0,fear,postanowiłem wynająć samochód na wakacje,postanowiłem wynająć samochód na wakacje,True,0.9999993781402112
46,EB0,fear,żołwica to dawne określenie na siostrę męża,szałowica to dawne określenie na siostrę męża,False,0.7865959988784036
47,EB0,fear,król był bardzo sprawiedliwym człowiekiem,król był bardzo sprawiedliwym człowiekiem,True,1.0
48,EB0,fear,moja dziewczyna świętuje urodziny w sobotę,moja dziewczyna świętuje urodziny w sobotę,True,1.0
49,EB0,fear,niektórzy powiedzą że to państwo z kartonu,niektórzy powiedzą że to państwo z kartonu,True,0.9999999999999998
5,EB0,fear,przestań go judzić,przestań go jeździć,False,0.7214483109784883
50,EB0,fear,w muzeum można zobaczyć szkielet dinozaura,w muzeum można zobaczyć szkielet dinozaura,True,1.0000000000000002
51,EB0,fear,strzelec to znak zodiaku następujący po skorpionie,strzelec to znak zodiaku następujący po skorpionie,True,1.0
52,EB0,fear,na złamaną kończynę często zakłada się gips,na złamaną kończynę często zakłada się gips,True,0.9999993383952184
53,EB0,fear,kitel to strój który noszą lekarze,kittel to strój który noszą lekarze,False,0.9159309101497405
54,EB0,fear,w grudniu często pada śnieg,w grudniu często pada śnieg,True,0.9999994311077699
55,EB0,fear,chodzę do szkoły prawie codziennie,chodzi o to że szkoły prawie codziennie,False,0.7731320709525702
56,EB0,fear,moje dziecko umie już mówić kilka słów,moje dziecko umie już mówić kilka słów,True,0.9999994869718941
57,EB0,fear,jedz inaczej aby polepszyć swoje zdrowie,jest inaczej aby polepszyć swoje zdrowie,False,0.8320519235906235
58,EB0,fear,otrzymałem piękną pocztówkę z widokiem na góry,otrzymałem piękną pocztówkę z widokiem na góry,True,1.0
59,EB0,fear,kupiłem nowy słownik języka hiszpańskiego,kupiłem nowy słownik języka hiszpańskiego,True,1.0
6,EB0,fear,dziunia nie jesteś moim szefem,ciunianie jesteś moim szefem,False,0.7263554741795418
60,EB0,fear,podczas wakacji udało mi się zobaczyć delfiny,podczas wakacji udało mi się zobaczyć te delfiny,False,0.9830867504058987
61,EB0,fear,zupa pomidorowa to moje ulubione danie,zupa pomidorowa to moje ulubione danie,True,0.99999930647348
62,EB0,fear,twoje słowo ma dla mnie wielkie znaczenie,twoje słowo ma dla mnie wielkie znaczenie,True,0.9999994416859066
63,EB0,fear,moja wizja na przyszłość jest jasna i wyraźna,moja wizja na przyszłość jest jasna i wyraźna,True,1.0
64,EB0,fear,ucho wykrywa dźwięki o różnej częstotliwości,ucho wykrywać dźwięki o różnej częstotliwości,False,0.9860869990353881
65,EB0,fear,podczas remontu odkryliśmy starodawny mur,podczas remontowy odkryliśmy starodawny mur,False,0.995753222092124
66,EB0,fear,rtęć jest jednym z pierwiastków chemicznych,rzecznicy z jednym z pierwiastków chemicznych,False,0.6370543232477907
67,EB0,fear,miłość jest jednym z najpiękniejszych uczuć,miłość i z jednym z najpiękniejszych uczuć,False,0.905861441713063
68,EB0,fear,zamek w malborku jest jednym z najpiękniejszych w polsce,zamek w malborku jest jednym z najpiękniejszych w polsce,True,0.9999992595302506
69,EB0,fear,przez most na rzece można szybko dotrzeć do miasta,przez most na rzece można szybko dotrzeć do miasta,True,1.0000000000000002
7,EB0,fear,życie jest pełne niespodzianek,życie jest pełne niespodzianek,True,0.9999990769911355
70,EB0,fear,człowiek zaczyna umierać już w momencie narodzin,człowiek zaczyna umierać już w momencie narodzin,True,0.9999999999999998
71,EB0,fear,baza wojskowa jest strategicznym punktem dla armii,baza wojskowa jest strategicznym punktem dla armii,True,1.0000000000000002
72,EB0,fear,bastion był kiedyś ważnym elementem obrony miasta,basion był kiedyś ważnym elementem obrony miasta,False,0.7918642159527572
73,EB0,fear,zawsze stawiam przed rzeczownikami właściwy rodzajnik,zawsze stawiam przed rzeczownikami właściwy rodzajnik,True,0.9999993848069187
74,EB0,fear,ta liczba wydaje się być błędna sprawdź jeszcze raz,ta liczba wydaje się być błędna sprawdźcie jeszcze raz,False,0.985346231302343
75,EB0,fear,moja teściowa czasem przyjeżdża do nas w weekend,moja testowa czasem przyjeżdża do nas w weekend,False,0.8111917285733253
76,EB0,fear,woda jest podstawowym składnikiem życia na ziemi,woda jest podstawowym składnikiem życia na ziemi,True,0.9999994468058716
77,EB0,fear,marzec kojarzy się z wiosennymi promieniami słońca,marzec kojarzy się z wiosennnymi promieniami słońca,False,0.9968797877605305
78,EB0,fear,moim ulubionym sosem do pizzy jest sos czosnkowy,moim ulubionym sosem do pizzy jest sos czosnkowy,True,0.9999992223878383
79,EB0,fear,mleko jest źródłem wapnia i innych składników odżywczych,mleko jest źródłem wapnia i innych składników odżywczych,True,0.9999999999999998
8,EB0,fear,moja ciocia jest bardzo pomocna,moja cica jest bardzo pomocna,False,0.7839363177482842
80,EB0,fear,do dzisiejszego obiadu potrzebuje małego garnczka,do dzisiejszego obiadu potrzebuję małego garnka,False,0.8809914483381794
81,EB0,fear,w lipcu wyjeżdżam z rodziną na wakacje nad morze,w lipcu wyjeżdżam z rodziną na wakacje nad morze,True,0.9999993827166517
82,EB0,fear,czerwiec kojarzy się z zakończeniem roku szkolnego,czerwieniec kojarzy się z zakończeniem roku szkolnego,False,0.8978973004261662
83,EB0,fear,ten źrebak jest wychowany zgodnie z najlepszymi standardami,ten zrzepak jest wychowany zgodnie z najlepszymi standardami,False,0.8804784728575337
84,EB0,fear,kontrświadczenie za udzieloną pożyczkę było bardzo wysokie,kontrświadczenie za udzieloną pożyczkę było bardzo wysokie,True,1.0
85,EB0,fear,w bankach można założyć konto osobiste oszczędnościowe lub kredytowe,w bankach można założyć konto osobiste oszczędnościowe lub kredytowe,True,0.9999999999999998
86,EB0,fear,myślmy pozytywnie i skupmy się na dobrych rzeczach w naszym życiu,myślmy pozytywnie i skupmy się na dobrych rzeczach w naszym życiu,True,0.9999995296734606
87,EB0,fear,na targach rzemieślniczych można zobaczyć wiele unikatowych produktów,na tarkach rzemieślniczych można zobaczyć wiele unikatowych produktów,False,0.942987076563255
88,EB0,fear,jabłko jest bogatym źródłem witamin i składników odżywczych,jabłko jest bogatym źródłem mitami i składników odżywczych,False,0.8922467246890442
89,EB0,fear,dopełniacz jest jednym z przypadków gramatycznych w języku polskim,dopełniacz jest jednym z przypadków gramatycznych w języku polskim,True,1.0
9,EB0,fear,piłka nożna to moja pasja,piłka nożna to moja pasja,True,0.9999992214425378
90,EB0,fear,chorał gregoriański jest wykonywany podczas uroczystych nabożeństw,chorał gregoriański jest wykonywany podczas uroczystych nabożeństw,True,1.0000000000000002
1,EB0,happiness,lubię czytać przed snem,lubię czytać przed snem,True,0.9999999999999998
10,EB0,happiness,kupiłem nową szafę do sypialni,kupiłem nową szafę do sypialni,True,1.0
11,EB0,happiness,nie zachowuj się jak żigolak,nie zahamuj się jak żigolak,False,0.803654434489128
12,EB0,happiness,mój teść zawsze służy radą,mój test zawsze służy radą,False,0.7161184431426235
13,EB0,happiness,interesuje mnie historia polski,interesuje mnie historia polski,True,1.0
14,EB0,happiness,ten miesiąc minął bardzo szybko,ten miesiąc minął bardzo szybko,True,0.9999993227165889
15,EB0,happiness,sporadycznie chodzę na siłownię,sporadycznie chodzę na siłownię,True,0.999999189888149
16,EB0,happiness,racja ten pomysł jest najlepszy,racja ten pomysł jest najlepszy,True,1.0
17,EB0,happiness,chcę przeczytać ten artykuł jeszcze raz,chcę przeczytać ten artykuł jeszcze raz,True,0.9967616572174284
18,EB0,happiness,kwiecień to czwarty miesiąc w roku,kwiecień to czwarty miesiąc w roku,True,0.9999993953446095
19,EB0,happiness,w wolnym czasie lubię czytać książki,w wolnym czasie lubię czytać książki,True,0.9999993665473207
2,EB0,happiness,nie waśńmy się ze sobą,nie właśnie my się ze sobą,False,0.7225363882590872
20,EB0,happiness,zima to czas jeżdżenia na sankach,zima to czas jeżdżenia na sankach,True,1.0
21,EB0,happiness,egipcjanie uważali ibisy za święte,egipcjanie uważali ibisy za święte,True,0.999999270234007
22,EB0,happiness,piesek wszedł do rzeki żeby popływać,piesek wpłynął do rzeki żeby popływać,False,0.9033311028378934
23,EB0,happiness,woda w basenie jest bardzo ciepła,woda w basenie jest bardzo ciepła,True,0.999999298504185
24,EB0,happiness,miasto tętni życiem nawet w nocy,miasto tętni życiem nawet w nocy,True,1.0
25,EB0,happiness,gorzka czekolada jest idealna na deser,gorzka czy kolada jest idealna na deser,False,0.8780240553593139
26,EB0,happiness,ten dżin potrafi spełniać życzenia,ten dżin potrafi spełniać życzenia,True,0.9999991240734769
27,EB0,happiness,w niedzielę szkoła jest zamknięta,w niedzielę szkoła jest zamknięta,True,0.9999993575478868
28,EB0,happiness,podczas medytacji można wejść w trans,podczas medytacji można wejść w trans,True,0.9999994707406072
29,EB0,happiness,w październiku zaczyna się jesień,październik uza czy nasi jesień,False,0.7002537425286355
3,EB0,happiness,chodźmy w tango,chodźmy w tango,True,1.0
30,EB0,happiness,każdy taniec ma swój własny rytm,każdy taniec ma swój własny rytm,True,0.9999993059414578
31,EB0,happiness,dokarmcie koty wychodząc z domu,do karem czekać wychodząc z domu,False,0.5578864851652409
32,EB0,happiness,pamiętaj że nadzieja umiera ostatnia,pamiętaj że nadzieja umiera ostatnia,True,1.0
33,EB0,happiness,po operacji nie mam żadnych blizn,po operacji nie mam żadnych blizn,True,0.9999994558063956
34,EB0,happiness,pan janek jest naszym nowym sąsiadem,pan janek jest naszym nowym sąsiadem,True,1.0
35,EB0,happiness,aby upiec ciasto muszę kupić mączkę,aby upiec ciasto muszę kupić małczkę,False,0.8814219794573803
36,EB0,happiness,ten pomysł trąci brakiem realizmu,ten pomysł trąci brakiem realizmu,True,0.9997523285554235
37,EB0,happiness,relaksujące piosnki poprawiają nastrój,relaksujące piosenki poprawiają nastrój,False,0.9864001977747147
38,EB0,happiness,„ród smoka” to serial telewizyjny,prot smakato serial telewizyjny,False,0.6481318526850616
39,EB0,happiness,sziwa oznacza żałobę po zmarłym,siwa oznacza żałobę po zmarłym,False,0.8503043946303047
4,EB0,happiness,dzieci muszą dużo jeść,dzieci muszą dużo jeść,True,0.9999994063633626
40,EB0,happiness,w dzieciństwie uwielbiałem klechdy,w dzieciństwie uwielbiałem klajdy,False,0.8122758421230432
41,EB0,happiness,w parku rośnie ogromne drzewo,w parku rasie ogromne drzewo,False,0.9415851040721607
42,EB0,happiness,przyjaciel to ktoś kto zawsze jest po mojej stronie,przyjaciel to ktoś kto zawsze jest po mojej stronie,True,1.0
43,EB0,happiness,niania odegrała w moim życiu ważną rolę,njania odegrała w moim życiu ważną rolę,False,0.9005862320119207
44,EB0,happiness,tęsknota to uczucie które każdy z nas zna,tęsknota to uczucie które każdy z nas zna,True,0.9999992707808777
45,EB0,happiness,postanowiłem wynająć samochód na wakacje,postanowiłem wynająć samochód na wakacje,True,0.9999994549616615
46,EB0,happiness,żołwica to dawne określenie na siostrę męża,żółwica to dawne określenia na siostrę męża,False,0.8624688587100958
47,EB0,happiness,król był bardzo sprawiedliwym człowiekiem,król był bardzo sprawiedliwym człowiekiem,True,1.0
48,EB0,happiness,moja dziewczyna świętuje urodziny w sobotę,moja dziewczyna świętuje urodziny w sobotę,True,0.9999992059361776
49,EB0,happiness,niektórzy powiedzą że to państwo z kartonu,niektórzy powiedzą że to państwo z kartonu,True,0.9999999999999998
5,EB0,happiness,przestań go judzić,przestań go jeździć,False,0.7222390058700815
50,EB0,happiness,w muzeum można zobaczyć szkielet dinozaura,w muzeum można zobaczyć szkile dinozaura,False,0.9104104658123036
51,EB0,happiness,strzelec to znak zodiaku następujący po skorpionie,strzelec to znak zd jako następujące poskarbionie,False,0.6818433368036233
52,EB0,happiness,na złamaną kończynę często zakłada się gips,na złamaną kończynę często zakłada się gip,False,0.884615645575921
53,EB0,happiness,kitel to strój który noszą lekarze,kittel to strój który noszą lekarze,False,0.9159749521326893
54,EB0,happiness,w grudniu często pada śnieg,w grudniu często pada śnieg,True,0.9999991982478201
55,EB0,happiness,chodzę do szkoły prawie codziennie,chodzę do szkoły prawie codziennie,True,0.9999992896402734
56,EB0,happiness,moje dziecko umie już mówić kilka słów,moje dziecko umie już mówić kilka słów,True,0.9999994407475284
57,EB0,happiness,jedz inaczej aby polepszyć swoje zdrowie,jedź inaczej aby polepszyć swoje zdrowie,False,0.8299834179194008
58,EB0,happiness,otrzymałem piękną pocztówkę z widokiem na góry,otrzymałem piękną pocztówkę z widokiem na góry,True,1.0
59,EB0,happiness,kupiłem nowy słownik języka hiszpańskiego,kupiłem nowy słownik języka hiszpańskiego,True,0.9999886701207609
6,EB0,happiness,dziunia nie jesteś moim szefem,dziunia nie jesteś moim szefem,True,0.9999993925425563
60,EB0,happiness,podczas wakacji udało mi się zobaczyć delfiny,podczas wakacji udało mi się zobaczyć delfinę,False,0.9581854492702531
61,EB0,happiness,zupa pomidorowa to moje ulubione danie,zupa pomidorawa to moje ulubione danie,False,0.9800627028236669
